ndc_11
65219049930.0
63323062625.0
65219022225.0
63323062600.0
65219045830.0
65219047530
63323087074.0
65219047910.0
65219022450
65219022225
65219047720
65219025810.0
63323082476
65219046020.0
63323068810.0
65219011810
63323087375
63323086974
65219046850
65219000851.0
65219023825.0
65219038910
65219047030
63323086974.0
65219014210.0
65219047530.0
65219022010.0
63323086774
65219022450.0
65219047030.0
63323053075
63323087010
65219000601
65219014410.0
65219047220
65219001201.0
63323086710.0
63323062610.0
65219023610.0
65219046450
65219011910.0
65219024050.0
65219047910
63323086910.0
63323082476.0
63323053075.0
00338000404
63323087374.0
65219014810
65219045660
65219046450.0
63323087374
63323062655
63323062600
65219001001
65219014410
65219050420.0
65219023410.0
63323066910.0
63323062650
63323087375.0
65219050630.0
63323017876.0
63323068310.0
65219047720.0
63323086774.0
65219047410.0
65219050210.0
65219046020
63323087310
65219000401
65219022010
65219046660
65219046850.0
63323068310
65219047220.0
65219011810.0
65219015310.0
65219046660.0
65219021850.0
63323086975.0
63323062655.0
63323087310.0
63323062625
63323066910
63323017876
65219000401.0
65219024050
65219000601.0
65219015310
63323062650.0
63323087010.0
63323082474
65219015075.0
63323082474.0
65219045830
65219038905
65219014810.0
63323068610
65219038905.0
65219014610.0
63323068810
63323068610.0
63323087074
63323082475.0
65219038910.0
63323082475
65219001001.0
65219011910
65219047410
63323062610
65219021850
65219014210
65219025810
63323086910
65219046210.0
65219045660.0
63323066710.0
