blinded_facility_id,month_year,ndc11,reference_number,spend,units,source_flag
FAC_00001,2024-01,63323082476,,21.79,1.0,WHOLESALER
FAC_00001,2024-02,65219047220,,0.0,0.0,WHOLESALER
FAC_00001,2024-04,63323086974,,0.0,0.0,WHOLESALER
FAC_00001,2024-05,63323068310,,0.0,0.0,WHOLESALER
FAC_00001,2024-05,63323087074,,0.0,0.0,WHOLESALER
FAC_00001,2024-05,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2024-05,65219047220,,0.0,0.0,WHOLESALER
FAC_00001,2024-05,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2024-06,63323053075,,0.0,0.0,WHOLESALER
FAC_00001,2024-06,63323082476,,24.91,1.0,WHOLESALER
FAC_00001,2024-06,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2024-07,63323053075,,242.88,5.0,WHOLESALER
FAC_00001,2024-07,63323062610,,23.5,1.0,WHOLESALER
FAC_00001,2024-07,63323082474,,59.7,1.0,WHOLESALER
FAC_00001,2024-07,63323082475,,45.36,1.0,WHOLESALER
FAC_00001,2024-07,63323082476,,23.5,1.0,WHOLESALER
FAC_00001,2024-07,63323087074,,0.0,0.0,WHOLESALER
FAC_00001,2024-07,63323087310,,0.0,0.0,WHOLESALER
FAC_00001,2024-07,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2024-07,65219047220,,0.0,0.0,WHOLESALER
FAC_00001,2024-07,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2024-07,65219047910,,0.0,0.0,WHOLESALER
FAC_00001,2024-08,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2024-08,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2024-09,63323053075,,0.0,0.0,WHOLESALER
FAC_00001,2024-09,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2024-09,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2024-09,65219047910,,0.0,0.0,WHOLESALER
FAC_00001,2024-10,63323053075,,0.0,0.0,WHOLESALER
FAC_00001,2024-10,63323062610,,0.0,0.0,WHOLESALER
FAC_00001,2024-10,63323062625,,60.33,1.0,WHOLESALER
FAC_00001,2024-10,63323062650,,116.4,1.0,WHOLESALER
FAC_00001,2024-10,63323062655,,44.62,1.0,WHOLESALER
FAC_00001,2024-10,65219047220,,0.0,0.0,WHOLESALER
FAC_00001,2024-10,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2024-10,65219047910,,0.0,0.0,WHOLESALER
FAC_00001,2024-11,63323053075,,0.0,0.0,WHOLESALER
FAC_00001,2024-11,63323062610,,0.0,0.0,WHOLESALER
FAC_00001,2024-11,65219014410,,0.0,0.0,WHOLESALER
FAC_00001,2024-11,65219047220,,0.0,0.0,WHOLESALER
FAC_00001,2024-11,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2024-12,63323053075,,0.0,0.0,WHOLESALER
FAC_00001,2024-12,63323086910,,0.0,0.0,WHOLESALER
FAC_00001,2024-12,65219022010,,0.0,0.0,WHOLESALER
FAC_00001,2024-12,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2025-01,63323062610,,0.0,0.0,WHOLESALER
FAC_00001,2025-01,63323086910,,0.0,0.0,WHOLESALER
FAC_00001,2025-01,65219046450,,0.0,0.0,WHOLESALER
FAC_00001,2025-01,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2025-02,63323086910,,0.0,0.0,WHOLESALER
FAC_00001,2025-02,65219022225,,0.0,0.0,WHOLESALER
FAC_00001,2025-02,65219045830,,0.0,0.0,WHOLESALER
FAC_00001,2025-02,65219046020,,0.0,0.0,WHOLESALER
FAC_00001,2025-02,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2025-03,63323086910,,0.0,0.0,WHOLESALER
FAC_00001,2025-03,65219046660,,0.0,0.0,WHOLESALER
FAC_00001,2025-03,65219046850,,0.0,0.0,WHOLESALER
FAC_00001,2025-03,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2025-03,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2025-04,63323053075,,44.52,1.0,WHOLESALER
FAC_00001,2025-04,65219022225,,0.0,0.0,WHOLESALER
FAC_00001,2025-04,65219046450,,0.0,0.0,WHOLESALER
FAC_00001,2025-04,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2025-05,63323053075,,715.7,10.0,WHOLESALER
FAC_00001,2025-05,63323062610,,27.98,1.0,WHOLESALER
FAC_00001,2025-05,63323086910,,0.0,0.0,WHOLESALER
FAC_00001,2025-05,65219045830,,0.0,0.0,WHOLESALER
FAC_00001,2025-05,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2025-06,63323017876,,113.85,3.0,WHOLESALER
FAC_00001,2025-06,63323062610,,0.0,0.0,WHOLESALER
FAC_00001,2025-06,65219045830,,0.0,0.0,WHOLESALER
FAC_00001,2025-06,65219046450,,0.0,0.0,WHOLESALER
FAC_00001,2025-06,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2025-06,65219047220,,0.0,0.0,WHOLESALER
FAC_00001,2025-06,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2025-06,65219047910,,0.0,0.0,WHOLESALER
FAC_00001,2025-07,63323062610,,0.0,0.0,WHOLESALER
FAC_00001,2025-07,63323082476,,32.12,1.0,WHOLESALER
FAC_00001,2025-07,65219045830,,0.0,0.0,WHOLESALER
FAC_00001,2025-07,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2025-07,65219047220,,0.0,0.0,WHOLESALER
FAC_00001,2025-07,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2025-07,65219047910,,0.0,0.0,WHOLESALER
FAC_00001,2025-08,63323053075,,150.82,2.0,WHOLESALER
FAC_00001,2025-08,63323068810,,0.0,0.0,WHOLESALER
FAC_00001,2025-08,65219011910,,0.0,0.0,WHOLESALER
FAC_00001,2025-08,65219014210,,0.0,0.0,WHOLESALER
FAC_00001,2025-08,65219014410,,0.0,0.0,WHOLESALER
FAC_00001,2025-08,65219046020,,0.0,0.0,WHOLESALER
FAC_00001,2025-08,65219046660,,0.0,0.0,WHOLESALER
FAC_00001,2025-08,65219046850,,0.0,0.0,WHOLESALER
FAC_00001,2025-08,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2025-08,65219047220,,0.0,0.0,WHOLESALER
FAC_00001,2025-08,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,63323053075,,134.56,2.0,WHOLESALER
FAC_00001,2025-09,63323062610,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,63323068610,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,63323068810,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,65219011910,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,65219014410,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,65219014810,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,65219045830,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,65219046660,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,65219046850,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,65219047220,,0.0,0.0,WHOLESALER
FAC_00001,2025-09,65219047410,,0.0,0.0,WHOLESALER
FAC_00001,2025-10,63323062610,,0.0,0.0,WHOLESALER
FAC_00001,2025-10,63323068310,,0.0,0.0,WHOLESALER
FAC_00001,2025-10,63323068610,,0.0,0.0,WHOLESALER
FAC_00001,2025-10,63323068810,,0.0,0.0,WHOLESALER
FAC_00001,2025-10,63323082474,,544.4,4.0,WHOLESALER
FAC_00001,2025-10,65219011910,,0.0,0.0,WHOLESALER
FAC_00001,2025-10,65219014810,,0.0,0.0,WHOLESALER
FAC_00001,2025-10,65219015310,,0.0,0.0,WHOLESALER
FAC_00001,2025-10,65219046660,,0.0,0.0,WHOLESALER
FAC_00001,2025-10,65219047030,,0.0,0.0,WHOLESALER
FAC_00001,2025-10,65219047220,,0.0,0.0,WHOLESALER
FAC_00001,2025-11,63323062610,,0.0,0.0,WHOLESALER
FAC_00001,2025-11,63323068310,,0.0,0.0,WHOLESALER
FAC_00001,2025-11,63323068810,,0.0,0.0,WHOLESALER
