facility_id,month_year_fmt,ndc,rb_spend,rb_units
TX0289,2024-01,65219047220,40.217,1.0
AD4855,2024-01,63323068310,175.72,4.0
NY2023,2024-01,63323053075,46.2,1.0
NY2170,2024-01,63323068310,44.44,1.0
647399,2024-01,63323068610,104.74,2.0
PA1152,2024-01,63323053075,46.2,1.0
AQ0323,2024-01,65219038905,0.0,0.0
640909,2024-01,63323053075,839.7,21.0
611088,2024-01,63323086974,42.0,1.0
TX0024,2024-01,65219047220,147.2,2.0
AG6192,2024-01,65219047220,73.6,1.0
688756,2024-01,63323068610,44.44,1.0
PA2586,2024-01,63323053075,138.6,3.0
AN7319,2024-01,65219047030,238.5,3.0
661362,2024-01,63323062655,84.0,2.0
AR2049,2024-01,63323068610,35.13,1.0
AI8199,2024-01,65219047220,73.6,1.0
788510,2024-01,63323086910,34.05,1.0
620029,2024-01,63323053075,0.0,0.0
IN2204,2024-01,63323066910,35.13,1.0
710898,2024-01,63323017876,30.38,1.0
TX0549,2024-01,65219047220,44.85,1.0
SC0001,2024-01,63323068610,33.86,1.0
AM0992,2024-01,65219047410,163.32,6.0
601044,2024-01,63323068310,44.44,1.0
MN2008,2024-01,65219047220,80.0,1.0
623178,2024-01,63323062625,72.4,1.0
KY0080,2024-01,65219047030,673.76,8.0
AG3142,2024-01,65219047410,167.8,4.0
754066,2024-01,65219047030,336.88,4.0
IA2026,2024-01,63323068610,33.9,1.0
NY2394,2024-01,63323053075,157.04,4.0
679734,2024-01,65219015310,87.04,1.0
773725,2024-01,63323068610,33.49,1.0
LA0075,2024-01,63323066910,47.5,1.0
FL0283,2024-01,65219025810,2733.0,6.0
714448,2024-01,63323086974,42.0,1.0
NC0084,2024-01,65219047030,139.92,2.0
IN2204,2024-01,63323068610,70.26,2.0
776511,2024-01,63323087374,43.68,1.0
WV0055,2024-01,65219047220,85.3,2.0
630394,2024-01,65219038910,592.44,4.0
642017,2024-01,63323082474,61.94,1.0
721175,2024-01,63323053075,115.5,3.0
611753,2024-01,63323086910,102.14999999999999,3.0
NE2446,2024-01,63323068810,51.79,1.0
695228,2024-01,63323062610,82.5,2.0
778938,2024-01,63323068610,43.04,1.0
CA2656,2024-01,63323068310,43.46,1.0
GA0106,2024-01,63323068610,101.31,3.0
NY5028,2024-01,65219047220,147.2,2.0
IA0002,2024-01,63323087310,30.46,1.0
WI2007,2024-01,65219047220,80.0,1.0
603254,2024-01,65219047030,65.7,1.0
799764,2024-01,65219047410,78.9,3.0
AU5987,2024-01,65219047030,84.22,1.0
AE4319,2024-01,63323053075,46.2,1.0
668739,2024-01,63323068810,159.48,4.0
612967,2024-01,63323053075,88.0,1.0
AG3142,2024-01,63323086910,34.05,1.0
668739,2024-01,65219047220,42.34,1.0
CA2681,2024-01,63323068310,95.0,2.0
805653,2024-01,65219047410,34.48,1.0
TX2129,2024-01,65219047410,230.88,12.0
650986,2024-01,65219047220,48.97,1.0
TX0270,2024-01,63323068810,54.13,1.0
OH2254,2024-01,63323068610,77.38,2.0
805653,2024-01,65219047030,0.0,0.0
TX2413,2024-01,63323062655,73.2,1.0
TX0513,2024-01,63323062610,28.05,1.0
712580,2024-01,63323066910,40.15,1.0
758923,2024-01,65219047220,80.0,1.0
809161,2024-01,63323082474,0.0,0.0
743695,2024-01,63323053075,46.2,1.0
809162,2024-01,63323053075,46.2,1.0
TX0435,2024-01,65219047410,53.26,2.0
FL2004,2024-01,63323053075,46.2,1.0
641641,2024-01,65219025810,5449.92,12.0
AE0029,2024-01,63323062610,28.05,1.0
NY5065,2024-01,63323082475,133.02,2.0
825511,2024-01,65219047030,251.6,4.0
649420,2024-01,63323068610,98.43,3.0
