quarter_start,spend,source,index
2023-10-01,44094201.78699999,provider_transactions (ERP timing),104.44441189491506
2024-01-01,27717235.786000006,provider_transactions (ERP timing),65.65285850973159
2024-04-01,48306610.611999996,provider_transactions (ERP timing),114.42219909953086
2024-07-01,44152972.611,provider_transactions (ERP timing),104.58362031462775
2024-10-01,32968474.44799999,provider_transactions (ERP timing),78.09128604770619
2025-01-01,52492345.254999995,provider_transactions (ERP timing),124.33680409109229
2025-04-01,39889985.530999996,provider_transactions (ERP timing),94.48603014535767
2025-07-01,48121101.423999995,provider_transactions (ERP timing),113.9827898970385
2023-10-01,66342046.68478229,supplier_spend (invoiced timing proxy),107.63512561839799
2024-01-01,46371215.8333384,supplier_spend (invoiced timing proxy),75.23391108227767
2024-04-01,58443540.9081752,supplier_spend (invoiced timing proxy),94.82037684373051
2024-07-01,65009927.650006786,supplier_spend (invoiced timing proxy),105.47385977250106
2024-10-01,74636671.7733382,supplier_spend (invoiced timing proxy),121.09254904710602
2025-01-01,54700616.7466764,supplier_spend (invoiced timing proxy),88.74775574692809
2025-04-01,61666656.430003196,supplier_spend (invoiced timing proxy),100.04964638560827
2025-07-01,65917774.820007995,supplier_spend (invoiced timing proxy),106.94677550345033
